Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Current Price,Market Capitalization,Trendlyne Durability Score,Trendlyne Valuation Score,Trendlyne Momentum Score,DVM_classification_text,Prev Day Trendlyne Durability Score,Prev Day Trendlyne Valuation Score,Prev Day Trendlyne Momentum Score,Prev Week Trendlyne Durability Score,Prev Week Trendlyne Valuation Score,Prev Week Trendlyne Momentum Score,Prev Month Trendlyne Durability Score,Prev Month Trendlyne Valuation Score,Prev Month Trendlyne Momentum Score,Normalized Momentum Score,Current Price,Market Capitalization,Forecaster Estimates Target Price,Forecaster Estimates 12Mth Upside %,Forecaster Estimates Reco,Forecaster Estimates No of bullish Estimates,Forecaster Estimates No of bearish Estimates,Forecaster Estimates 1Q forward Revenue Quarter,Forecaster Estimates 1Y forward Qtr Revenue YoY Growth %,Forecaster Estimates 1Q forward Net Income Quarter,Forecaster Estimates 1Q forward EPS Quarter,Forecaster Estimates 1Y forward EPS YoY Growth Quarter %,Forecaster Estimates 1Y forward Revenue Annual,Forecaster Estimates 1Y forward Annual Revenue Growth %,Forecaster Estimates 1Y forward Net Income Annual,Forecaster estimates 1Y forward Net Income Annual Growth %,Forecaster Estimates 1Y forward EPS Annual,Forecaster Estimates 1Y forward EPS Growth Annual %,Forecaster Estimates 1Y forward EBITDA Annual,Forecaster Estimates 1Q forward EBITDA Quarter,Forecaster Estimates 1Q forward Interest Expense Quarter,Forecaster Estimates 1Y forward Cash From Operations Annual,Forecaster Estimates 1Y forward Depreciation & Amortization Annual,Forecaster Estimates 1Y forward Dividend Yield %,Forecaster Estimates 1Y forward PE,Forecaster Estimates 1Y forward PEG,sector_name,Industry Name
20 Microns Ltd.,20MICRONS,533022,20MICRONS,INE144J01027,Coal & Mining,Metals & Mining,174.65,174.65,616.28,65,53.83,40.81,"Strong Performer, Under Radar",65,53.83,50.5,65,53,47.88,65,53.83,37.39,61.45,174.65,616.28,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Metals & Mining,Coal & Mining
360 ONE Gold ETF,GOLD360,544375,GOLD360,INF579M01BB5,Others,Others,147.3,147.3,,,,57.33,,,,58.55,,,,,,,,147.3,,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Others,Others
360 ONE Silver ETF,SILVER360,544389,SILVER360,INF579M01BC3,Others,Others,258.59,258.59,,,,69.7,,,,69.86,,,,,,,,258.59,,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Others,Others
360 One Wam Ltd.,360ONE,542772,360ONE,INE466L01038,Capital Markets,Banking and Finance,1078.1,1078.1,43802.69,30,27.17,53.04,Momentum Trap,30,27.17,54.9,30,27.33,51.75,45,26.83,41.57,66.8,1078.1,43802.69,Export NA,Export NA,Export NA,Export NA,Export NA,861.8,Export NA,334.3,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Banking and Finance,Capital Markets
3B BlackBio Dx Ltd.,,532067,3BBLACKBIO,INE994E01018,Agrochemicals,Chemicals & Petrochemicals,1230.45,1230.45,1056.06,65,39.67,33.91,Falling Comet,65,39.67,49.09,70,39,38.97,70,39.17,40.59,39.96,1230.45,1056.06,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Chemicals & Petrochemicals,Agrochemicals
3M India Ltd.,3MINDIA,523395,3MINDIA,INE470A01017,Industrial Machinery,General Industrials,31000,31000,34921.81,60,23.67,33.8,Falling Comet,60,23.67,41.81,60,23,57.6,60,23.17,50.33,50.88,31000,34921.81,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,General Industrials,Industrial Machinery
3P Land Holdings Ltd.,3PLAND,516092,3PLAND,INE105C01023,Realty,Realty,33.5,33.5,60.3,,32.83,41.85,,,32.83,40.35,,31.67,41.15,,31,47.65,49.1,33.5,60.3,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Realty,Realty
3i Infotech Ltd.,3IINFOLTD,532628,3IINFOLTD,INE748C01038,IT Consulting & Software,Software & Services,17.5,17.5,362.94,45,43.17,47.5,Mid-range Performer,45,43.17,46.65,65,68.17,44.05,65,68.67,46.63,56.77,17.5,362.94,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Software & Services,IT Consulting & Software
5Paisa Capital Ltd.,5PAISA,540776,5PAISA,INE618L01018,Capital Markets,Banking and Finance,306.15,306.15,1435.3,40,27.67,41.55,Expensive Performer,40,27.67,43.3,30,31.33,52.6,60,43.83,39.26,52.69,306.15,1435.3,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Banking and Finance,Capital Markets
63 Moons Technologies Ltd.,63MOONS,526881,63MOONS,INE111B01023,IT Consulting & Software,Software & Services,662.1,662.1,3050.86,,13.83,44.09,,40,13.83,42.98,40,13.33,51.34,40,14.67,33.41,52.3,662.1,3050.86,Export NA,Export NA,Export NA,Export NA,Export NA,,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,Export NA,,,Export NA,Export NA,Export NA,Export NA,Export NA,Software & Services,IT Consulting & Software
