Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Current Price,Market Capitalization,Normalized Momentum Score,Trendlyne Momentum Score,Prev Day Trendlyne Momentum Score,Prev Week Trendlyne Momentum Score,Prev Month Trendlyne Momentum Score,Day MFI,Day RSI,Day MACD,Day MACD Signal Line,Day SMA30,Day SMA50,Day SMA100,Day SMA200,Day SMA5,Day EMA12,Day EMA20,Day EMA50,Day EMA100,Beta 1Month,Beta 3Month,Beta 1Year,Beta 3Year,Day ROC21,Day ROC125,Day ATR,Day ADX
20 Microns Ltd.,20MICRONS,533022,20MICRONS,INE144J01027,Coal & Mining,Metals & Mining,174.65,174.65,616.28,61.45,40.81,50.5,47.88,37.39,56.9,50.68,4.11,4.63,169.16,166.38,177.64,198.43,180.59,178.41,175.88,172.62,178.21,1.33,1.55,1.33,1.12,9.58,-16.16,6.93,22.31
360 ONE Gold ETF,GOLD360,544375,GOLD360,INF579M01BB5,Others,Others,147.3,147.3,,,57.33,58.55,,,61.02,52.77,-0.08,-0.27,145.32,147.78,144.94,128.52,146.55,146.03,146.01,145.98,141.92,0.58,0.69,0.43,,1.66,24.72,3.54,12.01
360 ONE Silver ETF,SILVER360,544389,SILVER360,INF579M01BC3,Others,Others,258.59,258.59,,,69.7,69.86,,,74.94,65.17,2.96,0.61,235.72,241,244.4,190.99,247.86,243.16,240.8,239.57,229.35,1.1,1.29,0.91,,11.88,77.54,7.97,13.66
360 One Wam Ltd.,360ONE,542772,360ONE,INE466L01038,Capital Markets,Banking and Finance,1078.1,1078.1,43802.69,66.8,53.04,54.9,51.75,41.57,49.17,53.74,16.9,11.9,1036.14,1044.98,1096,1094.02,1101.54,1079.45,1067.46,1062.41,1076.46,1.48,1.1,1.27,0.99,8.02,0.93,34.12,16.89
3B BlackBio Dx Ltd.,,532067,3BBLACKBIO,INE994E01018,Agrochemicals,Chemicals & Petrochemicals,1230.45,1230.45,1056.06,39.96,33.91,49.09,38.97,40.59,27.52,44.73,-3.9,-1.61,1251.44,1269.39,1402.2,1403.68,1278.6,1271.94,1272.87,1303.84,1352.15,2.06,1.62,1.14,0.8,2.41,-7.09,66.49,16.22
3M India Ltd.,3MINDIA,523395,3MINDIA,INE470A01017,Industrial Machinery,General Industrials,31000,31000,34921.81,50.88,33.8,41.81,57.6,50.33,54.28,38.9,-81.7,28.12,31673.17,32613.4,33921.65,32783.48,31980,32180.09,32212.88,32658.94,33044.38,0.44,0.95,0.65,0.56,-0.16,-13.38,902.54,15.38
3P Land Holdings Ltd.,3PLAND,516092,3PLAND,INE105C01023,Realty,Realty,33.5,33.5,60.3,49.1,41.85,40.35,41.15,47.65,22.93,45.1,0.2,0.51,34.36,33.26,34.66,39.19,34.75,34.74,34.67,34.34,35.4,1.54,0.92,0.91,0.78,-4.42,-19.35,2.17,13.53
3i Infotech Ltd.,3IINFOLTD,532628,3IINFOLTD,INE748C01038,IT Consulting & Software,Software & Services,17.5,17.5,362.94,56.77,47.5,46.65,44.05,46.63,48.51,60.16,0.62,0.73,16.57,15.31,15.48,17.87,17.66,17.48,17.14,16.19,16.26,1.06,0.68,0.85,1.09,13.86,2.64,0.63,35.97
5Paisa Capital Ltd.,5PAISA,540776,5PAISA,INE618L01018,Capital Markets,Banking and Finance,306.15,306.15,1435.3,52.69,41.55,43.3,52.6,39.26,54.52,41.11,5.58,8.27,313.01,309.31,326.78,337.95,329.3,327.91,324.72,319.28,324.12,1.82,1.29,1.17,0.82,1.88,-0.89,15.74,27.9
63 Moons Technologies Ltd.,63MOONS,526881,63MOONS,INE111B01023,IT Consulting & Software,Software & Services,662.1,662.1,3050.86,52.3,44.09,42.98,51.34,33.41,49.12,47.8,31.76,39.72,637.56,609.53,645.75,760.41,713.22,706.08,687.48,650.6,665.57,2.8,1.99,1.77,1.32,20.17,-14.1,34.72,34.12
A G Universal Ltd.,AGUL,,AGUL,INE0O6N01012,Iron & Steel Products,Metals & Mining,59.95,59.95,32.88,57.03,46.87,46.71,47.37,52.88,28.7,33.51,-4.35,-2.96,72.42,71.04,68.46,59.46,58.73,63.33,66.38,68.98,67.03,-0.01,-0.2,-0.17,,-29.47,4.81,3.02,34.87
A2Z Infra Engineering Ltd.,A2ZINFRA,533292,A2ZINFRA,INE619I01012,Construction & Engineering,Cement and Construction,16.15,16.15,286.7,46.78,37.64,38.44,46.54,56.4,44.11,43.53,-0.06,0.07,16.76,16.61,15.71,16.95,16.31,16.57,16.64,16.42,16.29,0.17,1.18,0.97,0.8,-6.27,-7.34,0.73,13.82
AAA Technologies Ltd.,AAATECH,543671,AAATECH,INE0D0U01013,Consulting Services,Commercial Services & Supplies,99.24,99.24,127.29,66.83,54.85,54.92,61.42,53.05,59.03,51.56,0.65,0.85,97.88,96.79,99.77,93.83,99.51,99.42,99.03,98.41,97.63,0.46,0.64,0.71,0.8,0.92,9.8,4.22,24.56
